"w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w "
"w w o o o o o o o o o o o o o o o mg o mr o mr o o o o w o o o p2 o o w "
"w w o o o o o o o o o o o o o o o o o o o o o o o o w o o o o o o w "
"w w p o o o o o o o o o o o o o o o o o o o o o o o wg o o o o mg o w "
"w w o o o o o o o o o o o o o o o o o o o o o o o o wg o o o o o o w "
"w w o o o o o o o o o o o o o o o o o o o o o o o o w o o o o o o w "
"w w o o o o o o o o o o o o o o o o o o o o o o o o w o o o o o o w "
"w w o o o o o o o o o br o o o o o o o o o o o p1 o o w o o o o o o w "
"w w w w w wr w w w w w w w w w w w w w w w w w w w w w w w d1 w w w w "
"w w o o o o o o o o o o o o o o o o o o o o o o o o w o o o o o o w "
"w w o o o o o o o o o o o o o o o o o o o o o o o o d1o o o o mr o o w "
"w w o br o o o o o o o o o o o o o o o o o o o o o o w o o o o o o w "
"w w o o o o o o o o o o o o o o o o o o o o o o o o w o o o o o o w "
"w w w d2 w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w "
"w w o o o w "
"w w o o o w "
"w w o o o w "
"w w end w w "
