
   w w w w w w w w w w w w w w w w w 
   w w w w w w o o o o w w w w w w w 
   w w w w w w o o ee o w w w w w w w 
   w w w w w w o o o o w w w w w w w 
   w w w w w w wr wr wr wr w w w w w w w 
   w w w w w w o o o o w w w w w w w
   w w w w w w o o o o w w w w w w w 
   w w w w w w o o o o w w w w w w w 
   w o o o o wb o o p o o wr o o o o w
   w o o o o wb o o o o o wr o o o o w
   w o o o o wb o o o o o wr o o o o w
   w o o o o wb o o mb o o wr o o o o w
   w o mr o o wb o o o o o wr o o o o w
   w o o o o wb o o o o o wr o o o o w
   w o o o o wb o o o o o wr o o o o w
   w o o o o wb o o o o o wr o o o o w
   w o o o o wb o o o o o wr o o o o w
   w o o o o wb o o o o o wr o o o o w
   w wr wr wr wr wr o o o o o wr o o o o w
   w o o o o wr o o o o o wr o o o o w
   w w w w o wr o o o o o wr o o o o w
   w w w w o wr o o o o o wr o k1 o o w
   w end d1 tgr o wr o o o o o wr o o o o w
   w w w w w w w w w w w w w w w w w
