 

b b b b b b b b b b w w w w w w w   
b b b b b w w w w w w o mr o mb o w w w w w w
b b b b b w o o o o wg o o o o o o wb o o o w
b b b b b w o k2 o o wg o o p o o o wb o k1 o w
b b b b b w o o o o wg o o o o o o wb o o o w
b b b b b w w w w w w w w d1 w w w w w w w w 
b b b b b b b b b b w o o o o o w
b b b b b b b b b b w o o mg o o w
b b b b b b b b b b w o o o o o w
b b b b b b b b b b w w w d2 w w w 
b b b b b b b b b b w o o o o o w
b b b b b b b b b b w o o o o o w
b b b b b b b b b b w wr wr wr wr wr w
b b b b b b b b b b w o o o o o w
b b b b b b b b b b w o o o o o w
b b b b b b b b b b w o o end o o w
b b b b b b b b b b w o o o o o w
b b b b b b b b b b w w w w w w w
