w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w
w p o o o o o o o o o o o o o o o wg o o o o o o o o o o o o end w
w o o o o o o o o o o o o o o o o o wg o o o o o o o o o o o o w
w o o o o o o o o o o o o o o o o o o wg o o o o o o o o o o o w
w o o o o o o o o o o o o o o o o o o o wg o o o o o o o o o o w
w o o o o o o o o o o o o o o o o o o o o wg o o o mr o o o o o w
w o o o o o o o o o o o o o o o o o o o o o wg o o o o o o o o w 
w o o o o o o o o o o o o o o o o o o o o o o wg o o o o o o o w
w wg o o o o o o o o o o o o o o o o o o o o o o wg o o o o o o w
w o wg o o o o o o o o o o o o o o o o o o o o o o wg o o o o o w
w o o wg o o o o o o o o o o o o o o o o o o o o o o wg o o o o w
w eg o o wg o o o o o o o o o o o o o o o o o o o o o o wg o o o w
w o o o o wg o o o o o o o o o o o o o o o o o o o o o o wg o o w
w o o o o o wg o o o o o o o o o o o o o o o o o o o o o o wg w
w wg wg wg wg wg wg wg o o o o o o o o o o o o o o o o o o o o o o wg w
w o o o o o o o wg o o o o o o o o o o o o o o o o o o o o o o w
w o o o o o o o o wg o o o o o o o o o o o o o o o o o o o o o w
w o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o w
w o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o w
w o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o w
w o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o w
w o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o w
w o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o w
w o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o w
w o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o w
w o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o w
w mg o o o o o o o o o o o o o o o o o o o o o o o o o o o o o w
w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w 
